               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085935,            0.044196,                   0,             0.53998,             0.61954,             0.58657,             0.19886,            0.060857,            0.020696,                   0,            0.070229,           0.0033079,           0.0033079
                   1,            0.058978,             0.03168,                   0,             0.73846,             0.76616,             0.83354,              0.4141,            0.044337,            0.015101,                   0,            0.040098,           0.0065097,           0.0065097
                   2,            0.053514,              0.0265,                   0,             0.63905,             0.78653,             0.76346,             0.34305,            0.050487,            0.013417,                   0,            0.009834,           0.0095796,           0.0095796
                   3,            0.043707,             0.02326,                   0,             0.84958,             0.90323,             0.90798,             0.58732,            0.032569,            0.011828,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037399,            0.021644,                   0,             0.94498,             0.92884,             0.96516,              0.6647,            0.032516,             0.01173,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.032791,            0.019984,                   0,             0.95261,             0.94402,             0.97717,             0.67739,            0.028012,            0.010928,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.030553,            0.019559,                   0,             0.97538,             0.95351,             0.97935,             0.72557,            0.025405,            0.010946,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.028129,            0.018828,                   0,              0.9784,             0.95541,             0.98113,             0.73412,            0.022674,            0.010273,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.026613,            0.017841,                   0,             0.97296,             0.96205,             0.98367,             0.72232,            0.023232,            0.010032,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.025502,            0.017316,                   0,             0.98424,             0.95541,             0.98058,             0.73936,            0.021504,           0.0099107,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.024814,            0.017365,                   0,             0.98045,             0.96395,             0.98373,             0.80704,            0.019163,           0.0094184,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.023583,            0.017168,                   0,             0.98821,             0.95825,             0.98347,              0.7886,            0.019698,            0.009177,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.022562,            0.016388,                   0,             0.98548,             0.96585,             0.98393,             0.79934,            0.019464,           0.0094413,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.021885,            0.016268,                   0,             0.98237,             0.97059,             0.98506,             0.81388,            0.018933,           0.0093922,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021458,            0.015789,                   0,              0.9906,             0.96395,             0.98551,             0.82239,            0.018349,           0.0090575,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.020562,            0.015828,                   0,             0.98411,              0.9649,             0.98595,             0.84739,            0.015869,            0.008498,                   0,            0.007228,            0.007228,            0.007228
